,raw_text,stemming_remove_stopwords,stemming,lemmatizing_remove_stopwords,lemmatizing,label
0,friendly environment in the barclays,friendli environ barclay,friendli environ in the barclay,friendly environment barclays,friendly environment in the barclays,POSITIVE
1,Bonus and salary is very low,bonu salari low,bonu and salari is veri low,bonus salary low,bonus and salary be very low,NEGATIVE
2,Good training program Too much red tape,good train program much red tape,good train program too much red tape,good train program much red tape,good train program too much red tape,NEUTRAL
3,Nice office space Small bonus pool,nice offic space small bonu pool,nice offic space small bonu pool,nice office space small bonus pool,nice office space small bonus pool,NEUTRAL
4,Great culture. Good work life balance.,great cultur good work life balanc,great cultur good work life balanc,great culture good work life balance,great culture good work life balance,POSITIVE
5,very good place to work,good place work,veri good place to work,good place work,very good place to work,POSITIVE
6,good culture and nice people,good cultur nice peopl,good cultur and nice peopl,good culture nice people,good culture and nice people,POSITIVE
7,1. good location 1. bad structure,good locat bad structur,good locat bad structur,good location bad structure,good location bad structure,NEUTRAL
8,Good hours and good network not much flexibility and too much structure,good hour good network much flexibl much structur,good hour and good network not much flexibl and too much structur,good hour good network much flexibility much structure,good hour and good network not much flexibility and too much structure,NEUTRAL
9,"Good People\, Good Culture\, Chill Environment",good peopl good cultur chill environ,good peopl good cultur chill environ,good people good culture chill environment,good people good culture chill environment,POSITIVE
10,Good company to work for,good compani work,good compani to work for,good company work,good company to work for,POSITIVE
11,Not so much money,much money,not so much money,much money,not so much money,NEGATIVE
12,The system can be too beauracratic,system beauracrat,the system can be too beauracrat,system beauracratic,the system can be too beauracratic,NEGATIVE
13,There is a good cafeteria There is somewhat limited mobility,good cafeteria somewhat limit mobil,there is a good cafeteria there is somewhat limit mobil,good cafeteria somewhat limit mobility,there be a good cafeteria there be somewhat limit mobility,NEUTRAL
14,"Professional environment\, good management\, good pay",profession environ good manag good pay,profession environ good manag good pay,professional environment good management good pay,professional environment good management good pay,POSITIVE
15,"good culture\, not as snobby as other firms\, HR not good\, dont support internal transfers",good cultur snobbi firm hr good support intern transfer,good cultur not as snobbi as other firm HR not good dont support intern transfer,good culture snobby firm hr good support internal transfer,good culture not a snobby a other firm hr not good dont support internal transfer,NEUTRAL
16,Great maternity/paternity benefit = 6 months!!!,great maternitypatern benefit month,great maternitypatern benefit month,great maternitypaternity benefit month,great maternitypaternity benefit month,POSITIVE
17,Poor management.,poor manag,poor manag,poor management,poor management,NEGATIVE
18,"fast process\, efficient work\, close cooperation",fast process effici work close cooper,fast process effici work close cooper,fast process efficient work close cooperation,fast process efficient work close cooperation,POSITIVE
19,"bureaucracy\, old technology and no great benefits.",bureaucraci old technolog great benefit,bureaucraci old technolog and no great benefit,bureaucracy old technology great benefit,bureaucracy old technology and no great benefit,NEGATIVE
20,Great benefits Overtime Flexible schedules,great benefit overtim flexibl schedul,great benefit overtim flexibl schedul,great benefit overtime flexible schedule,great benefit overtime flexible schedule,POSITIVE
21,Smart people Long hours,smart peopl long hour,smart peopl long hour,smart people long hour,smart people long hour,NEUTRAL
22,Great graduate program on the street No promotions,great graduat program street promot,great graduat program on the street No promot,great graduate program street promotion,great graduate program on the street no promotion,NEUTRAL
23,Challenging environment with los of smart people. Long hours that can be tough at times,challeng environ lo smart peopl long hour tough time,challeng environ with lo of smart peopl long hour that can be tough at time,challenge environment los smart people long hour tough time,challenge environment with los of smart people long hour that can be tough at time,NEUTRAL
24,Gotta suck up to succeed,got ta suck succeed,got ta suck up to succeed,get ta suck succeed,get ta suck up to succeed,NEGATIVE
25,benefits are very key here,benefit key,benefit are veri key here,benefit key,benefit be very key here,POSITIVE
